category,item_id,label,popularity,price,rating,user_id
forecasting,forecasting_02,1,0.853,27.63,4.72,policy_003
forecasting,forecasting_03,0,0.196,137.27,3.17,policy_003
forecasting,forecasting_04,0,0.219,143.53,4.77,policy_003
research,research_01,1,0.758,31.73,2.57,policy_003
research,research_02,0,0.53,47.12,2.72,policy_003
research,research_03,1,0.848,35.24,3.06,policy_003
research,research_04,1,0.581,28.27,2.93,policy_003
analytics,analytics_01,1,0.946,25.68,3.18,operations_001
analytics,analytics_02,0,0.564,56.19,3.5,operations_001
analytics,analytics_03,0,0.42,20.23,2.96,operations_001
analytics,analytics_04,0,0.326,52.0,2.98,operations_001
automation,automation_01,1,0.333,26.66,3.98,operations_001
automation,automation_02,1,0.207,128.46,4.55,operations_001
automation,automation_03,1,0.321,47.04,4.07,operations_001
automation,automation_04,1,0.607,34.14,4.74,operations_001
forecasting,forecasting_01,1,0.796,88.81,4.36,operations_001
forecasting,forecasting_02,0,0.495,50.71,2.64,operations_001
forecasting,forecasting_03,0,0.733,82.18,3.57,operations_001
forecasting,forecasting_04,0,0.229,115.9,4.86,operations_001
research,research_01,0,0.839,27.14,3.25,operations_001
research,research_02,0,0.509,18.68,2.88,operations_001
research,research_03,0,0.35,28.2,3.1,operations_001
research,research_04,0,0.839,55.78,3.51,operations_001
analytics,analytics_01,1,0.819,15.44,4.9,operations_002
analytics,analytics_02,1,0.829,77.89,4.72,operations_002
analytics,analytics_03,0,0.321,23.31,3.61,operations_002
analytics,analytics_04,0,0.453,39.27,2.55,operations_002
automation,automation_01,1,0.777,138.21,3.06,operations_002
automation,automation_02,1,0.916,73.51,3.46,operations_002
automation,automation_03,1,0.725,139.44,3.79,operations_002
automation,automation_04,1,0.925,36.89,3.14,operations_002
forecasting,forecasting_01,0,0.748,103.19,3.76,operations_002
forecasting,forecasting_02,0,0.552,32.72,3.86,operations_002
forecasting,forecasting_03,0,0.919,140.12,2.79,operations_002
forecasting,forecasting_04,0,0.626,35.82,2.86,operations_002
research,research_01,0,0.246,42.14,2.99,operations_002
research,research_02,0,0.626,53.97,3.02,operations_002
research,research_03,0,0.617,39.07,3.45,operations_002
research,research_04,0,0.313,33.75,4.74,operations_002
analytics,analytics_01,1,0.687,28.23,3.39,operations_003
analytics,analytics_02,1,0.751,32.4,3.19,operations_003
analytics,analytics_03,1,0.949,16.93,3.55,operations_003
analytics,analytics_04,0,0.321,79.73,2.58,operations_003
automation,automation_01,1,0.855,50.35,4.73,operations_003
automation,automation_02,0,0.276,125.27,3.32,operations_003
automation,automation_03,1,0.639,119.72,4.16,operations_003
automation,automation_04,0,0.156,138.44,4.03,operations_003
forecasting,forecasting_01,0,0.681,135.31,3.15,operations_003
forecasting,forecasting_02,0,0.242,151.76,2.74,operations_003
forecasting,forecasting_03,0,0.368,39.45,3.78,operations_003
forecasting,forecasting_04,0,0.313,106.65,4.19,operations_003
research,research_01,0,0.541,39.88,3.06,operations_003
research,research_02,0,0.224,54.79,4.52,operations_003
research,research_03,0,0.153,28.3,3.09,operations_003
research,research_04,0,0.36,47.41,3.99,operations_003
analytics,analytics_01,0,0.158,49.51,3.47,research_001
analytics,analytics_02,1,0.873,17.12,4.61,research_001
analytics,analytics_03,1,0.616,49.1,4.49,research_001
analytics,analytics_04,0,0.397,22.07,2.72,research_001
automation,automation_01,0,0.839,127.68,4.39,research_001
automation,automation_02,0,0.35,127.67,2.93,research_001
automation,automation_03,1,0.857,30.54,4.35,research_001
automation,automation_04,0,0.274,67.58,3.95,research_001
forecasting,forecasting_01,1,0.931,150.53,4.56,research_001
forecasting,forecasting_02,0,0.17,134.45,4.6,research_001
forecasting,forecasting_03,1,0.895,124.44,3.23,research_001
forecasting,forecasting_04,1,0.799,133.3,4.56,research_001
research,research_01,1,0.236,19.67,4.37,research_001
research,research_02,1,0.328,52.97,4.55,research_001
research,research_03,1,0.394,49.91,3.55,research_001
research,research_04,0,0.169,48.74,2.97,research_001
analytics,analytics_01,1,0.924,34.32,4.56,research_002
analytics,analytics_02,0,0.47,30.98,4.0,research_002
analytics,analytics_03,1,0.901,78.72,3.74,research_002
analytics,analytics_04,0,0.293,19.84,4.83,research_002
automation,automation_01,0,0.237,135.43,3.06,research_002
automation,automation_02,0,0.401,71.02,4.22,research_002
automation,automation_03,0,0.458,91.96,3.68,research_002
automation,automation_04,0,0.717,88.34,3.04,research_002
forecasting,forecasting_01,1,0.581,25.23,4.71,research_002
forecasting,forecasting_02,1,0.687,122.12,4.25,research_002
forecasting,forecasting_03,0,0.681,74.17,2.57,research_002
forecasting,forecasting_04,1,0.828,69.58,3.18,research_002
research,research_01,1,0.397,44.59,3.15,research_002
research,research_02,1,0.387,27.46,3.41,research_002
research,research_03,1,0.902,12.0,3.45,research_002
research,research_04,1,0.642,42.25,4.66,research_002
analytics,analytics_01,0,0.38,49.26,2.4,research_003
analytics,analytics_02,1,0.674,41.23,3.85,research_003
analytics,analytics_03,0,0.321,43.62,3.51,research_003
analytics,analytics_04,1,0.787,44.18,4.65,research_003
automation,automation_01,0,0.562,38.7,2.61,research_003
automation,automation_02,0,0.805,95.22,3.24,research_003
automation,automation_03,0,0.33,109.64,4.08,research_003
automation,automation_04,0,0.346,42.29,2.46,research_003
forecasting,forecasting_01,0,0.208,89.14,4.52,research_003
forecasting,forecasting_02,0,0.306,80.95,3.97,research_003
forecasting,forecasting_03,0,0.345,119.01,3.64,research_003
forecasting,forecasting_04,0,0.751,113.57,2.41,research_003
research,research_01,1,0.49,47.35,2.67,research_003
research,research_02,1,0.564,14.67,4.79,research_003
research,research_03,1,0.829,7.76,3.02,research_003
research,research_04,1,0.684,30.11,4.4,research_003
analytics,analytics_01,1,0.863,52.49,4.78,planning_001
analytics,analytics_02,1,0.554,53.66,4.2,planning_001
analytics,analytics_03,1,0.868,68.48,3.77,planning_001
analytics,analytics_04,0,0.357,62.57,3.59,planning_001
automation,automation_01,1,0.763,48.16,3.99,planning_001
automation,automation_02,0,0.37,81.6,3.97,planning_001
automation,automation_03,0,0.367,27.45,3.11,planning_001
automation,automation_04,0,0.261,57.0,3.75,planning_001
forecasting,forecasting_01,1,0.715,56.22,4.13,planning_001
forecasting,forecasting_02,1,0.584,33.67,3.42,planning_001
forecasting,forecasting_03,1,0.486,81.13,2.92,planning_001
forecasting,forecasting_04,1,0.706,147.15,3.86,planning_001
research,research_01,0,0.454,52.12,4.31,planning_001
research,research_02,1,0.753,5.32,3.28,planning_001
research,research_03,0,0.485,51.94,4.78,planning_001
research,research_04,0,0.633,46.11,3.77,planning_001
analytics,analytics_01,0,0.173,26.92,3.49,planning_002
analytics,analytics_02,1,0.473,34.86,4.1,planning_002
analytics,analytics_03,0,0.252,23.22,3.57,planning_002
analytics,analytics_04,0,0.465,54.31,2.47,planning_002
automation,automation_01,0,0.664,86.86,2.47,planning_002
automation,automation_02,0,0.19,34.56,3.55,planning_002
automation,automation_03,0,0.411,64.25,2.93,planning_002
automation,automation_04,0,0.752,110.87,3.35,planning_002
forecasting,forecasting_01,0,0.216,137.31,3.03,planning_002
forecasting,forecasting_02,1,0.95,27.62,3.75,planning_002
forecasting,forecasting_03,1,0.775,72.24,4.03,planning_002
forecasting,forecasting_04,1,0.91,112.99,4.29,planning_002
research,research_01,0,0.272,15.96,2.45,planning_002
research,research_02,1,0.601,11.94,4.07,planning_002
research,research_03,1,0.764,16.99,4.15,planning_002
research,research_04,1,0.748,14.23,3.92,planning_002
analytics,analytics_01,0,0.236,67.71,4.81,planning_003
analytics,analytics_02,1,0.692,13.75,3.18,planning_003
analytics,analytics_03,1,0.722,77.16,3.39,planning_003
analytics,analytics_04,1,0.652,17.17,4.13,planning_003
automation,automation_01,1,0.83,30.43,4.33,planning_003
automation,automation_02,0,0.937,91.25,2.7,planning_003
automation,automation_03,0,0.493,113.48,3.27,planning_003
automation,automation_04,0,0.423,63.21,3.66,planning_003
forecasting,forecasting_01,1,0.234,139.69,4.46,planning_003
forecasting,forecasting_02,1,0.813,154.71,3.99,planning_003
forecasting,forecasting_03,1,0.737,120.49,3.49,planning_003
forecasting,forecasting_04,1,0.797,155.34,3.08,planning_003
research,research_01,0,0.498,34.6,3.61,planning_003
research,research_02,1,0.831,45.21,3.07,planning_003
research,research_03,0,0.855,50.69,2.62,planning_003
research,research_04,1,0.638,18.41,3.56,planning_003
